Date,Open,High,Low,Close,Adj Close,Volume
2019-09-20,1.001393,1.006965,0.998945,1.001464,1.001464,255936
2019-09-21,1.001320,1.007052,1.000069,1.001984,1.001984,172854
2019-09-22,1.002346,1.007011,0.998558,1.003114,1.003114,150590
2019-09-23,1.003591,1.012758,0.999545,1.002431,1.002431,1532224
2019-09-24,1.002344,1.059820,0.994858,1.007416,1.007416,4110761
2019-09-25,1.006297,1.010014,0.996799,1.005742,1.005742,909108
2019-09-26,1.005569,1.025264,0.997792,1.005058,1.005058,1413787
2019-09-27,1.004807,1.011309,1.000271,1.008357,1.008357,443785
2019-09-28,1.008315,1.012517,0.994648,1.002278,1.002278,366418
2019-09-29,1.002783,1.019629,1.000987,1.003489,1.003489,269667
2019-09-30,1.003489,1.017098,0.996188,1.003450,1.003450,756625
2019-10-01,1.003594,1.011483,0.996931,1.004227,1.004227,886134
2019-10-02,1.004227,1.007352,0.999443,1.003084,1.003084,570248
2019-10-03,1.003084,1.009044,0.997114,1.002932,1.002932,416832
2019-10-04,1.002799,1.012471,1.000225,1.004391,1.004391,138481
2019-10-05,1.004391,1.008826,0.996832,1.001575,1.001575,147865
2019-10-06,1.001591,1.022350,0.998447,1.014366,1.014366,349256
2019-10-07,1.013561,1.016856,0.994916,1.003620,1.003620,693687
2019-10-08,1.003228,1.008404,0.999605,1.005718,1.005718,643230
2019-10-09,1.005718,1.009756,0.994425,1.004012,1.004012,3360167
2019-10-10,1.003488,1.004808,0.996689,1.000089,1.000089,508888
2019-10-11,1.000289,1.014072,0.989695,1.009285,1.009285,1670363
2019-10-12,1.009521,1.012869,0.999931,1.003483,1.003483,1919848
2019-10-13,1.003519,1.015658,1.000096,1.004086,1.004086,2979555
2019-10-14,1.004086,1.007818,0.992693,1.003010,1.003010,3424847
2019-10-15,1.003039,1.013660,0.997488,1.004100,1.004100,4316438
2019-10-16,1.004100,1.010490,1.000192,1.005972,1.005972,9845326
2019-10-17,1.005978,1.008618,1.001634,1.003593,1.003593,10052146
2019-10-18,1.004152,1.015083,1.000694,1.002178,1.002178,11230517
2019-10-19,1.002621,1.009376,0.998316,1.006040,1.006040,13314757
2019-10-20,1.005814,1.008349,0.996917,1.001081,1.001081,11806045
2019-10-21,1.001129,1.007113,0.998801,1.002543,1.002543,3976648
2019-10-22,1.002200,1.008745,1.000497,1.003884,1.003884,4428319
