"DateTime","Average Balance","Price"
"2015-08-03 00:00:00",10563,1.54
"2015-08-10 00:00:00",7991.91,1.36
"2015-08-17 00:00:00",6856.84,1.36
"2015-08-24 00:00:00",5671.84,1.23
"2015-08-31 00:00:00",5591.02,1.28
"2015-09-07 00:00:00",4844.08,1.16
"2015-09-14 00:00:00",3577.36,0.892679
"2015-09-21 00:00:00",3183.84,0.8153
"2015-09-28 00:00:00",2466.07,0.646314
"2015-10-05 00:00:00",2323.96,0.622679
"2015-10-12 00:00:00",2035.36,0.559836
"2015-10-19 00:00:00",1805.3,0.518007
"2015-10-26 00:00:00",3093.2,0.946793
"2015-11-02 00:00:00",2809.77,0.933186
"2015-11-09 00:00:00",2539.06,0.893357
"2015-11-16 00:00:00",2576.54,0.925807
"2015-11-23 00:00:00",2411.62,0.894679
"2015-11-30 00:00:00",2240.15,0.845764
"2015-12-07 00:00:00",2216.91,0.852571
"2015-12-14 00:00:00",2381.24,0.943014
"2015-12-21 00:00:00",2255.77,0.9146
"2015-12-28 00:00:00",2207.77,0.914421
"2016-01-04 00:00:00",2255.47,0.959543
"2016-01-11 00:00:00",2655.75,1.18
"2016-01-18 00:00:00",3250.74,1.52
"2016-01-25 00:00:00",4665.49,2.43
"2016-02-01 00:00:00",4250.05,2.47
"2016-02-08 00:00:00",6832.13,4.48
"2016-02-15 00:00:00",6047.38,4.46
"2016-02-22 00:00:00",7272.44,5.91
"2016-02-29 00:00:00",9277.26,8.81
"2016-03-07 00:00:00",9987.62,11.25
"2016-03-14 00:00:00",9193.22,11.4
"2016-03-21 00:00:00",8484.35,11.21
"2016-03-28 00:00:00",8195.31,11.51
"2016-04-04 00:00:00",6861.88,10.11
"2016-04-11 00:00:00",5471.5,8.38
"2016-04-18 00:00:00",5342.78,8.45
"2016-04-25 00:00:00",4791.09,7.85
"2016-05-02 00:00:00",5419.11,9.46
"2016-05-09 00:00:00",5355.13,9.95
"2016-05-16 00:00:00",6377.75,13.03
"2016-05-23 00:00:00",5495.36,12.3
"2016-05-30 00:00:00",5545.5,13.5
"2016-06-06 00:00:00",5527.59,14.28
"2016-06-13 00:00:00",5952.37,16.33
"2016-06-20 00:00:00",4509.64,13.29
"2016-06-27 00:00:00",4082.34,12.51
"2016-07-04 00:00:00",3368.45,10.73
"2016-07-11 00:00:00",3366.31,11.13
"2016-07-18 00:00:00",3831.46,12.76
"2016-07-25 00:00:00",3654.88,12.71
"2016-08-01 00:00:00",2853.6,10.45
"2016-08-08 00:00:00",3080.57,11.72
"2016-08-15 00:00:00",2812.16,11.03
"2016-08-22 00:00:00",2766.31,11.16
"2016-08-29 00:00:00",2803.78,11.63
"2016-09-05 00:00:00",2738.84,11.67
"2016-09-12 00:00:00",2786.71,12.19
"2016-09-19 00:00:00",2961,13.28
"2016-09-26 00:00:00",2855.72,13.18
"2016-10-03 00:00:00",2633.51,12.9
"2016-10-10 00:00:00",2359.82,11.92
"2016-10-17 00:00:00",2356.71,12.11
"2016-10-24 00:00:00",2148.65,11.26
"2016-10-31 00:00:00",2054.32,10.99
"2016-11-07 00:00:00",1921.08,10.48
"2016-11-14 00:00:00",1774.49,9.88
"2016-11-21 00:00:00",1723.82,9.47
"2016-11-28 00:00:00",1478.13,8.18
"2016-12-05 00:00:00",1396.75,7.89
"2016-12-12 00:00:00",1412.28,8.06
"2016-12-19 00:00:00",1289.73,7.52
"2016-12-26 00:00:00",1303.88,7.76
"2017-01-02 00:00:00",1595.38,9.65
"2017-01-09 00:00:00",1625.51,9.99
"2017-01-16 00:00:00",1655.22,10.36
"2017-01-23 00:00:00",1661.85,10.59
"2017-01-30 00:00:00",1678.49,10.83
"2017-02-06 00:00:00",1729.59,11.28
"2017-02-13 00:00:00",1914.55,12.64
"2017-02-20 00:00:00",1952.49,13.05
"2017-02-27 00:00:00",2573.67,17.64
"2017-03-06 00:00:00",2714.17,19.2
"2017-03-13 00:00:00",4764.7,35.74
"2017-03-20 00:00:00",5693.6,45.44
"2017-03-27 00:00:00",6001.09,50.45
"2017-04-03 00:00:00",4981.29,44.18
"2017-04-10 00:00:00",5167.19,47.54
"2017-04-17 00:00:00",5104.13,48.56
"2017-04-24 00:00:00",6072.41,60.58
"2017-05-01 00:00:00",7922.6,83.73
"2017-05-08 00:00:00",7647.09,86.56
"2017-05-15 00:00:00",8494.06,104.16
"2017-05-22 00:00:00",12321.64,168.13
"2017-05-29 00:00:00",14295.3,216.83
"2017-06-05 00:00:00",16354.61,275.86
"2017-06-12 00:00:00",18462.22,351.52
"2017-06-19 00:00:00",14639.91,312.53
"2017-06-26 00:00:00",11662.11,275.17
"2017-07-03 00:00:00",10211.05,259.89
"2017-07-10 00:00:00",7129.77,193.58
"2017-07-17 00:00:00",7457.61,213.77
"2017-07-24 00:00:00",6827.46,204.58
"2017-07-31 00:00:00",7161.53,226.15
"2017-08-07 00:00:00",8795.78,294.11
"2017-08-14 00:00:00",8252.86,294.86
"2017-08-21 00:00:00",8536.43,324.93
"2017-08-28 00:00:00",9098.67,367.62
"2017-09-04 00:00:00",7310.86,312.31
"2017-09-11 00:00:00",5959.41,267.55
"2017-09-18 00:00:00",5941.38,277.7
"2017-09-25 00:00:00",6142.95,296.65
"2017-10-02 00:00:00",6011.52,299.7
"2017-10-09 00:00:00",6077.36,313.92
"2017-10-16 00:00:00",5822.18,311.44
"2017-10-23 00:00:00",5319.4,294.64
"2017-10-30 00:00:00",5182.55,298.46
"2017-11-06 00:00:00",5094.46,305.66
"2017-11-13 00:00:00",5296.64,332.44
"2017-11-20 00:00:00",6234.28,409.66
"2017-11-27 00:00:00",6578.7,457.44
"2017-12-04 00:00:00",6028.84,448.22
"2017-12-11 00:00:00",8080.97,644.9
"2017-12-18 00:00:00",8472.04,731.5
"2017-12-25 00:00:00",7772.09,720.52
"2018-01-01 00:00:00",9085.28,919.17
"2018-01-08 00:00:00",11141.57,1241.16
"2018-01-15 00:00:00",9096.44,1082.08
"2018-01-22 00:00:00",8387.96,1045.36
"2018-01-29 00:00:00",7855.51,1015.95
"2018-02-05 00:00:00",5919.26,788.95
"2018-02-12 00:00:00",6593.63,903.27
"2018-02-19 00:00:00",6169.41,865.15
"2018-02-26 00:00:00",6018.51,863.46
"2018-03-05 00:00:00",5163.95,755.96
"2018-03-12 00:00:00",4145.97,619.47
"2018-03-19 00:00:00",3542.52,539.58
"2018-03-26 00:00:00",2786.35,429.46
"2018-04-02 00:00:00",2475.44,387.51
"2018-04-09 00:00:00",2878.43,459.74
"2018-04-16 00:00:00",3414.67,556.93
"2018-04-23 00:00:00",3936.36,657.93
"2018-04-30 00:00:00",4294.15,731.85
"2018-05-07 00:00:00",4125.07,720.13
"2018-05-14 00:00:00",3903.49,699.35
"2018-05-21 00:00:00",3354.41,616.18
"2018-05-28 00:00:00",3025.95,569.38
"2018-06-04 00:00:00",3087.38,593.67
"2018-06-11 00:00:00",2558.05,500.07
"2018-06-18 00:00:00",2519.39,500.8
"2018-06-25 00:00:00",2185.08,441.59
"2018-07-02 00:00:00",2312.28,471.36
"2018-07-09 00:00:00",2160.44,443.95
"2018-07-16 00:00:00",2260.41,469.98
"2018-07-23 00:00:00",2209.59,466.88
"2018-07-30 00:00:00",1968.81,423.39
"2018-08-06 00:00:00",1642.7,358.17
"2018-08-13 00:00:00",1328.29,292.85
"2018-08-20 00:00:00",1253.22,278.3
"2018-08-27 00:00:00",1285.28,287.08
"2018-09-03 00:00:00",1067.88,240.09
"2018-09-10 00:00:00",887.1,200.67
"2018-09-17 00:00:00",980.33,223.09
"2018-09-24 00:00:00",980.16,224.32
"2018-10-01 00:00:00",977.4,224.99
"2018-10-08 00:00:00",911.63,210.98
"2018-10-15 00:00:00",889.76,207.22
"2018-10-22 00:00:00",866.06,203.19
"2018-10-29 00:00:00",843.79,199.7
"2018-11-05 00:00:00",892.62,213
"2018-11-12 00:00:00",781,187.83
"2018-11-19 00:00:00",540.03,130.72
"2018-11-26 00:00:00",472.7,115.18
"2018-12-03 00:00:00",408.32,99.99
"2018-12-10 00:00:00",356.56,87.78
"2018-12-17 00:00:00",437.01,108.21
"2018-12-24 00:00:00",541.38,134.85
"2018-12-31 00:00:00",596.45,149.37
