"DateTime","Average Transaction Size","Price"
"2015-08-03 00:00:00",4002.63,1.54
"2015-08-10 00:00:00",1498.98,1.36
"2015-08-17 00:00:00",624.29,1.36
"2015-08-24 00:00:00",108.27,1.23
"2015-08-31 00:00:00",151.5,1.28
"2015-09-07 00:00:00",86.06,1.16
"2015-09-14 00:00:00",75.35,0.892679
"2015-09-21 00:00:00",38.55,0.8153
"2015-09-28 00:00:00",44.33,0.646314
"2015-10-05 00:00:00",24.11,0.622679
"2015-10-12 00:00:00",38.84,0.559836
"2015-10-19 00:00:00",40.05,0.518007
"2015-10-26 00:00:00",112.44,0.946793
"2015-11-02 00:00:00",87.41,0.933186
"2015-11-09 00:00:00",68.59,0.893357
"2015-11-16 00:00:00",70.2,0.925807
"2015-11-23 00:00:00",68.44,0.894679
"2015-11-30 00:00:00",25.53,0.845764
"2015-12-07 00:00:00",37.31,0.852571
"2015-12-14 00:00:00",44.08,0.943014
"2015-12-21 00:00:00",9.44,0.9146
"2015-12-28 00:00:00",29.04,0.914421
"2016-01-04 00:00:00",24.81,0.959543
"2016-01-11 00:00:00",65.22,1.18
"2016-01-18 00:00:00",157.17,1.52
"2016-01-25 00:00:00",198.63,2.43
"2016-02-01 00:00:00",93.65,2.47
"2016-02-08 00:00:00",419.84,4.48
"2016-02-15 00:00:00",227.67,4.46
"2016-02-22 00:00:00",541.14,5.91
"2016-02-29 00:00:00",722.96,8.81
"2016-03-07 00:00:00",655.06,11.25
"2016-03-14 00:00:00",520.91,11.4
"2016-03-21 00:00:00",251.2,11.21
"2016-03-28 00:00:00",275.54,11.51
"2016-04-04 00:00:00",236.09,10.11
"2016-04-11 00:00:00",195.05,8.38
"2016-04-18 00:00:00",159.02,8.45
"2016-04-25 00:00:00",259.77,7.85
"2016-05-02 00:00:00",369.7,9.46
"2016-05-09 00:00:00",879.86,9.95
"2016-05-16 00:00:00",507.26,13.03
"2016-05-23 00:00:00",432.86,12.3
"2016-05-30 00:00:00",231.54,13.5
"2016-06-06 00:00:00",343.57,14.28
"2016-06-13 00:00:00",810,16.33
"2016-06-20 00:00:00",795.74,13.29
"2016-06-27 00:00:00",255.79,12.51
"2016-07-04 00:00:00",620.81,10.73
"2016-07-11 00:00:00",412.37,11.13
"2016-07-18 00:00:00",2490,12.76
"2016-07-25 00:00:00",2939.49,12.71
"2016-08-01 00:00:00",1691.34,10.45
"2016-08-08 00:00:00",1156.61,11.72
"2016-08-15 00:00:00",701.81,11.03
"2016-08-22 00:00:00",679.63,11.16
"2016-08-29 00:00:00",450.94,11.63
"2016-09-05 00:00:00",286.97,11.67
"2016-09-12 00:00:00",433.1,12.19
"2016-09-19 00:00:00",1133.82,13.28
"2016-09-26 00:00:00",735.19,13.18
"2016-10-03 00:00:00",500.86,12.9
"2016-10-10 00:00:00",1117.4,11.92
"2016-10-17 00:00:00",487.34,12.11
"2016-10-24 00:00:00",465.74,11.26
"2016-10-31 00:00:00",1378.98,10.99
"2016-11-07 00:00:00",608.39,10.48
"2016-11-14 00:00:00",382.33,9.88
"2016-11-21 00:00:00",335.39,9.47
"2016-11-28 00:00:00",465.4,8.18
"2016-12-05 00:00:00",636.7,7.89
"2016-12-12 00:00:00",381.58,8.06
"2016-12-19 00:00:00",517.57,7.52
"2016-12-26 00:00:00",649.5,7.76
"2017-01-02 00:00:00",1285.96,9.65
"2017-01-09 00:00:00",758.97,9.99
"2017-01-16 00:00:00",360.67,10.36
"2017-01-23 00:00:00",254.88,10.59
"2017-01-30 00:00:00",396.62,10.83
"2017-02-06 00:00:00",374.53,11.28
"2017-02-13 00:00:00",749.08,12.64
"2017-02-20 00:00:00",941.02,13.05
"2017-02-27 00:00:00",3826.48,17.64
"2017-03-06 00:00:00",4936.18,19.2
"2017-03-13 00:00:00",6693.39,35.74
"2017-03-20 00:00:00",6694.21,45.44
"2017-03-27 00:00:00",7693.91,50.45
"2017-04-03 00:00:00",5657.99,44.18
"2017-04-10 00:00:00",3959.78,47.54
"2017-04-17 00:00:00",4882.71,48.56
"2017-04-24 00:00:00",8660.54,60.58
"2017-05-01 00:00:00",17624.63,83.73
"2017-05-08 00:00:00",14498.98,86.56
"2017-05-15 00:00:00",11674.24,104.16
"2017-05-22 00:00:00",16416.86,168.13
"2017-05-29 00:00:00",19060.7,216.83
"2017-06-05 00:00:00",21840.86,275.86
"2017-06-12 00:00:00",24243.47,351.52
"2017-06-19 00:00:00",12355,312.53
"2017-06-26 00:00:00",11417.32,275.17
"2017-07-03 00:00:00",11600.24,259.89
"2017-07-10 00:00:00",15040.99,193.58
"2017-07-17 00:00:00",15884.5,213.77
"2017-07-24 00:00:00",19182.14,204.58
"2017-07-31 00:00:00",8568.53,226.15
"2017-08-07 00:00:00",21409.7,294.11
"2017-08-14 00:00:00",12565.54,294.86
"2017-08-21 00:00:00",11898.29,324.93
"2017-08-28 00:00:00",20989.62,367.62
"2017-09-04 00:00:00",12319.73,312.31
"2017-09-11 00:00:00",10219.14,267.55
"2017-09-18 00:00:00",9991.05,277.7
"2017-09-25 00:00:00",8096.62,296.65
"2017-10-02 00:00:00",11561.87,299.7
"2017-10-09 00:00:00",10464.94,313.92
"2017-10-16 00:00:00",8780.78,311.44
"2017-10-23 00:00:00",8939.05,294.64
"2017-10-30 00:00:00",7758.62,298.46
"2017-11-06 00:00:00",9655.84,305.66
"2017-11-13 00:00:00",9990.08,332.44
"2017-11-20 00:00:00",13002.31,409.66
"2017-11-27 00:00:00",17462.79,457.44
"2017-12-04 00:00:00",7733.55,448.22
"2017-12-11 00:00:00",7772.98,644.9
"2017-12-18 00:00:00",8695.27,731.5
"2017-12-25 00:00:00",8802.61,720.52
"2018-01-01 00:00:00",11912.18,919.17
"2018-01-08 00:00:00",18062.43,1241.16
"2018-01-15 00:00:00",11491.08,1082.08
"2018-01-22 00:00:00",9477.74,1045.36
"2018-01-29 00:00:00",9597.96,1015.95
"2018-02-05 00:00:00",6021.28,788.95
"2018-02-12 00:00:00",6177.76,903.27
"2018-02-19 00:00:00",4606.31,865.15
"2018-02-26 00:00:00",2177.52,863.46
"2018-03-05 00:00:00",1991.67,755.96
"2018-03-12 00:00:00",2019.15,619.47
"2018-03-19 00:00:00",1577.1,539.58
"2018-03-26 00:00:00",1853.09,429.46
"2018-04-02 00:00:00",960.4,387.51
"2018-04-09 00:00:00",1327.48,459.74
"2018-04-16 00:00:00",1395.41,556.93
"2018-04-23 00:00:00",2225.51,657.93
"2018-04-30 00:00:00",2185.19,731.85
"2018-05-07 00:00:00",2239.56,720.13
"2018-05-14 00:00:00",1702.5,699.35
"2018-05-21 00:00:00",1832.29,616.18
"2018-05-28 00:00:00",1699.31,569.38
"2018-06-04 00:00:00",1741.13,593.67
"2018-06-11 00:00:00",2101.24,500.07
"2018-06-18 00:00:00",1423.36,500.8
"2018-06-25 00:00:00",1213.3,441.59
"2018-07-02 00:00:00",1517.32,471.36
"2018-07-09 00:00:00",1111.56,443.95
"2018-07-16 00:00:00",1240.25,469.98
"2018-07-23 00:00:00",899.45,466.88
"2018-07-30 00:00:00",973.75,423.39
"2018-08-06 00:00:00",1050.77,358.17
"2018-08-13 00:00:00",966.99,292.85
"2018-08-20 00:00:00",718.11,278.3
"2018-08-27 00:00:00",738.6,287.08
"2018-09-03 00:00:00",1196.2,240.09
"2018-09-10 00:00:00",943.83,200.67
"2018-09-17 00:00:00",930.52,223.09
"2018-09-24 00:00:00",864.69,224.32
"2018-10-01 00:00:00",615.15,224.99
"2018-10-08 00:00:00",753.87,210.98
"2018-10-15 00:00:00",903.49,207.22
"2018-10-22 00:00:00",662.39,203.19
"2018-10-29 00:00:00",657.28,199.7
"2018-11-05 00:00:00",736.97,213
"2018-11-12 00:00:00",846.36,187.83
"2018-11-19 00:00:00",1004.39,130.72
"2018-11-26 00:00:00",1500.06,115.18
"2018-12-03 00:00:00",617.88,99.99
"2018-12-10 00:00:00",434.6,87.78
"2018-12-17 00:00:00",806.74,108.21
"2018-12-24 00:00:00",781.4,134.85
"2018-12-31 00:00:00",886.39,149.37
"2019-01-07 00:00:00",757.21,138.96
"2019-01-14 00:00:00",579.55,123.07
"2019-01-21 00:00:00",469.89,116.63
"2019-01-28 00:00:00",496.66,107.53
"2019-02-04 00:00:00",439.78,111.11
"2019-02-11 00:00:00",514.35,123.76
"2019-02-18 00:00:00",807.89,147.8
"2019-02-25 00:00:00",643.11,135.81
"2019-03-04 00:00:00",602.6,135.25
"2019-03-11 00:00:00",610.68,135.88
"2019-03-18 00:00:00",606.41,137.9
"2019-03-25 00:00:00",595.62,138.91
"2019-04-01 00:00:00",794.09,160.59
"2019-04-08 00:00:00",790.72,171.51
"2019-04-15 00:00:00",655.77,169.05
"2019-04-22 00:00:00",805.62,162.8
"2019-04-29 00:00:00",665.86,162.23
"2019-05-06 00:00:00",904.23,177.13
"2019-05-13 00:00:00",1309.78,233.5
"2019-05-20 00:00:00",899.55,251.14
"2019-05-27 00:00:00",946.25,266.9
"2019-06-03 00:00:00",799.8,245.68
"2019-06-10 00:00:00",847.53,255.93
"2019-06-17 00:00:00",987.32,282.62
"2019-06-24 00:00:00",1220.59,311.09
"2019-07-01 00:00:00",751.18,291.41
"2019-07-08 00:00:00",1041.5,283.05
"2019-07-15 00:00:00",737.17,218.31
"2019-07-22 00:00:00",580.12,214.29
"2019-07-29 00:00:00",570.25,215.62
"2019-08-05 00:00:00",694.17,220.14
"2019-08-12 00:00:00",577.74,193.89
"2019-08-19 00:00:00",520.74,192.31
"2019-08-26 00:00:00",532.01,176.13
"2019-09-02 00:00:00",514.42,176.13
"2019-09-09 00:00:00",495.09,181.96
"2019-09-16 00:00:00",676.32,210.24
"2019-09-23 00:00:00",703.4,175.32
"2019-09-30 00:00:00",443.33,175.79
"2019-10-07 00:00:00",443.27,184.08
"2019-10-14 00:00:00",421.55,177.07
"2019-10-21 00:00:00",524.7,173.85
"2019-10-28 00:00:00",515.91,184.12
"2019-11-04 00:00:00",435.29,187.01
"2019-11-11 00:00:00",378.65,184.66
"2019-11-18 00:00:00",529.93,163.53
"2019-11-25 00:00:00",515.09,149.61
"2019-12-02 00:00:00",420.34,148.48
"2019-12-09 00:00:00",308.12,144.73
"2019-12-16 00:00:00",501.4,129.22
"2019-12-23 00:00:00",351.7,128.42
"2019-12-30 00:00:00",399.55,132.05
"2020-01-06 00:00:00",416.5,141.76
"2020-01-13 00:00:00",549.03,162.86
"2020-01-20 00:00:00",385.88,163.99
"2020-01-27 00:00:00",552.51,177.79
"2020-02-03 00:00:00",721.64,207.33
"2020-02-10 00:00:00",882.3,254.28
"2020-02-17 00:00:00",924.48,263.74
"2020-02-24 00:00:00",843.09,235.76
"2020-03-02 00:00:00",758.53,229.35
"2020-03-09 00:00:00",1307.68,159.39
"2020-03-16 00:00:00",673.74,123.95
"2020-03-23 00:00:00",511.98,133.6
"2020-03-30 00:00:00",404.65,138.2
"2020-04-06 00:00:00",539.15,163.64
"2020-04-13 00:00:00",483.23,166.82
"2020-04-20 00:00:00",602.45,183.91
"2020-04-27 00:00:00",583.57,207.03
"2020-05-04 00:00:00",660.03,205.72
"2020-05-11 00:00:00",578.15,195.93
"2020-05-18 00:00:00",551.86,207.55
"2020-05-25 00:00:00",634.23,215.96
"2020-06-01 00:00:00",591.99,240.99
"2020-06-08 00:00:00",563.25,239.47
"2020-06-15 00:00:00",718.4,229.81
"2020-06-22 00:00:00",931.5,232.59
"2020-06-29 00:00:00",788.39,226.89
"2020-07-06 00:00:00",752.08,239.87
"2020-07-13 00:00:00",695.1,236.98
"2020-07-20 00:00:00",1140.05,269.55
"2020-07-27 00:00:00",1444.03,339.15
"2020-08-03 00:00:00",1225.38,389.87
"2020-08-10 00:00:00",1845.81,407.22
"2020-08-17 00:00:00",1497.32,408.75
"2020-08-24 00:00:00",1793.49,394.45
"2020-08-31 00:00:00",4242.94,403.65
"2020-09-07 00:00:00",3316.2,357.93
"2020-09-14 00:00:00",3695.27,375.53
"2020-09-21 00:00:00",2174.46,344.99
"2020-09-28 00:00:00",2101.15,353.07
"2020-10-05 00:00:00",1922.44,354.8
"2020-10-12 00:00:00",1843.33,375.59
"2020-10-19 00:00:00",1924.65,396.71
"2020-10-26 00:00:00",2095.95,391.66
"2020-11-02 00:00:00",2636.3,414.89
"2020-11-09 00:00:00",2329.38,457.65
