"DateTime","Bulls","Bears","Difference"
"2015-07-27 00:00:00",63,0,63
"2015-08-03 00:00:00",85,-34,51
"2015-08-10 00:00:00",85,-119,-34
"2015-08-17 00:00:00",113,-106,7
"2015-08-24 00:00:00",121,-113,8
"2015-08-31 00:00:00",120,-120,0
"2015-09-07 00:00:00",115,-105,10
"2015-09-14 00:00:00",97,-90,7
"2015-09-21 00:00:00",112,-106,6
"2015-09-28 00:00:00",117,-114,3
"2015-10-05 00:00:00",111,-106,5
"2015-10-12 00:00:00",98,-106,-8
"2015-10-19 00:00:00",100,-101,-1
"2015-10-26 00:00:00",96,-98,-2
"2015-11-02 00:00:00",120,-97,23
"2015-11-09 00:00:00",91,-81,10
"2015-11-16 00:00:00",105,-89,16
"2015-11-23 00:00:00",93,-86,7
"2015-11-30 00:00:00",104,-103,1
"2015-12-07 00:00:00",100,-96,4
"2015-12-14 00:00:00",84,-95,-11
"2015-12-21 00:00:00",130,-119,11
"2015-12-28 00:00:00",102,-103,-1
"2016-01-04 00:00:00",99,-89,10
"2016-01-11 00:00:00",115,-111,4
"2016-01-18 00:00:00",95,-97,-2
"2016-01-25 00:00:00",109,-96,13
"2016-02-01 00:00:00",114,-97,17
"2016-02-08 00:00:00",97,-97,0
"2016-02-15 00:00:00",94,-89,5
"2016-02-22 00:00:00",71,-81,-10
"2016-02-29 00:00:00",88,-110,-22
"2016-03-07 00:00:00",95,-99,-4
"2016-03-14 00:00:00",103,-99,4
"2016-03-21 00:00:00",115,-123,-8
"2016-03-28 00:00:00",104,-105,-1
"2016-04-04 00:00:00",98,-98,0
"2016-04-11 00:00:00",105,-104,1
"2016-04-18 00:00:00",106,-122,-16
"2016-04-25 00:00:00",111,-109,2
"2016-05-02 00:00:00",118,-139,-21
"2016-05-09 00:00:00",68,-95,-27
"2016-05-16 00:00:00",121,-113,8
"2016-05-23 00:00:00",111,-118,-7
"2016-05-30 00:00:00",121,-124,-3
"2016-06-06 00:00:00",108,-101,7
"2016-06-13 00:00:00",92,-94,-2
"2016-06-20 00:00:00",100,-103,-3
"2016-06-27 00:00:00",111,-111,0
"2016-07-04 00:00:00",79,-90,-11
"2016-07-11 00:00:00",78,-95,-17
"2016-07-18 00:00:00",84,-93,-9
"2016-07-25 00:00:00",98,-103,-5
"2016-08-01 00:00:00",76,-75,1
"2016-08-08 00:00:00",93,-91,2
"2016-08-15 00:00:00",79,-81,-2
"2016-08-22 00:00:00",83,-87,-4
"2016-08-29 00:00:00",101,-116,-15
"2016-09-05 00:00:00",100,-114,-14
"2016-09-12 00:00:00",96,-107,-11
"2016-09-19 00:00:00",88,-82,6
"2016-09-26 00:00:00",98,-99,-1
"2016-10-03 00:00:00",103,-113,-10
"2016-10-10 00:00:00",76,-64,12
"2016-10-17 00:00:00",101,-115,-14
"2016-10-24 00:00:00",113,-119,-6
"2016-10-31 00:00:00",91,-97,-6
"2016-11-07 00:00:00",87,-96,-9
"2016-11-14 00:00:00",121,-125,-4
"2016-11-21 00:00:00",110,-119,-9
"2016-11-28 00:00:00",97,-101,-4
"2016-12-05 00:00:00",89,-85,4
"2016-12-12 00:00:00",86,-89,-3
"2016-12-19 00:00:00",95,-102,-7
"2016-12-26 00:00:00",88,-95,-7
"2017-01-02 00:00:00",70,-72,-2
"2017-01-09 00:00:00",82,-84,-2
"2017-01-16 00:00:00",121,-126,-5
"2017-01-23 00:00:00",114,-115,-1
"2017-01-30 00:00:00",128,-133,-5
"2017-02-06 00:00:00",136,-140,-4
"2017-02-13 00:00:00",95,-93,2
"2017-02-20 00:00:00",69,-73,-4
"2017-02-27 00:00:00",43,-41,2
"2017-03-06 00:00:00",28,-30,-2
"2017-03-13 00:00:00",48,-46,2
"2017-03-20 00:00:00",31,-31,0
"2017-03-27 00:00:00",26,-29,-3
"2017-04-03 00:00:00",32,-36,-4
"2017-04-10 00:00:00",41,-42,-1
"2017-04-17 00:00:00",29,-35,-6
"2017-04-24 00:00:00",19,-19,0
"2017-05-01 00:00:00",16,-14,2
"2017-05-08 00:00:00",4,-4,0
"2017-05-15 00:00:00",28,-26,2
"2017-05-22 00:00:00",17,-18,-1
"2017-05-29 00:00:00",22,-23,-1
"2017-06-05 00:00:00",9,-9,0
"2017-06-12 00:00:00",7,-5,2
"2017-06-19 00:00:00",41,-38,3
"2017-06-26 00:00:00",35,-31,4
"2017-07-03 00:00:00",12,-15,-3
"2017-07-10 00:00:00",22,-19,3
"2017-07-17 00:00:00",10,-12,-2
"2017-07-24 00:00:00",1,-2,-1
"2017-07-31 00:00:00",15,-18,-3
"2017-08-07 00:00:00",6,-5,1
"2017-08-14 00:00:00",5,-5,0
"2017-08-21 00:00:00",10,-17,-7
"2017-08-28 00:00:00",3,-2,1
"2017-09-04 00:00:00",6,-5,1
"2017-09-11 00:00:00",7,-6,1
"2017-09-18 00:00:00",6,-6,0
"2017-09-25 00:00:00",16,-11,5
"2017-10-02 00:00:00",5,-7,-2
"2017-10-09 00:00:00",9,-7,2
"2017-10-16 00:00:00",5,-5,0
"2017-10-23 00:00:00",5,-4,1
"2017-10-30 00:00:00",3,-3,0
"2017-11-06 00:00:00",19,-20,-1
"2017-11-13 00:00:00",5,-7,-2
"2017-11-20 00:00:00",11,-11,0
"2017-12-04 00:00:00",19,-17,2
"2017-12-11 00:00:00",22,-22,0
"2017-12-18 00:00:00",17,-18,-1
"2017-12-25 00:00:00",20,-23,-3
"2018-01-01 00:00:00",8,-10,-2
"2018-01-08 00:00:00",8,-8,0
"2018-01-15 00:00:00",13,-16,-3
"2018-01-22 00:00:00",21,-25,-4
"2018-01-29 00:00:00",20,-21,-1
"2018-02-05 00:00:00",18,-18,0
"2018-02-12 00:00:00",25,-21,4
"2018-02-19 00:00:00",40,-20,20
"2018-02-26 00:00:00",69,-77,-8
"2018-03-05 00:00:00",74,-78,-4
"2018-03-12 00:00:00",86,-83,3
"2018-03-19 00:00:00",78,-94,-16
"2018-03-26 00:00:00",105,-104,1
"2018-04-02 00:00:00",86,-97,-11
