"DateTime","New Addresses","Active Addresses","Zero Balance Addresses","Price"
"2015-08-03 00:00:00",3664.33,1236,51,1.54
"2015-08-10 00:00:00",669.14,1711.57,102.14,1.36
"2015-08-17 00:00:00",280.43,1575.71,47,1.36
"2015-08-24 00:00:00",193.29,1694.57,46,1.23
"2015-08-31 00:00:00",152.43,1647.86,53.57,1.28
"2015-09-07 00:00:00",166.29,1737.29,73.71,1.16
"2015-09-14 00:00:00",138.14,1657,75.14,0.892679
"2015-09-21 00:00:00",115.14,1690,82.14,0.8153
"2015-09-28 00:00:00",104.14,1597.86,64.57,0.646314
"2015-10-05 00:00:00",82.57,1489.86,57.14,0.622679
"2015-10-12 00:00:00",158.43,1561.86,83.14,0.559836
"2015-10-19 00:00:00",246.57,1633.14,117.57,0.518007
"2015-10-26 00:00:00",346.57,2035.14,105.57,0.946793
"2015-11-02 00:00:00",353.71,2168.57,114.14,0.933186
"2015-11-09 00:00:00",158.71,2007.14,95.14,0.893357
"2015-11-16 00:00:00",167.43,1973.71,78.14,0.925807
"2015-11-23 00:00:00",120.14,1831.86,64.57,0.894679
"2015-11-30 00:00:00",143.43,1903.57,94.86,0.845764
"2015-12-07 00:00:00",182,1983.86,103.43,0.852571
"2015-12-14 00:00:00",187.43,2325.43,110.71,0.943014
"2015-12-21 00:00:00",131.57,2329.57,86.43,0.9146
"2015-12-28 00:00:00",168.29,2502,106,0.914421
"2016-01-04 00:00:00",238.71,2734.14,139.71,0.959543
"2016-01-11 00:00:00",299,2931,141,1.18
"2016-01-18 00:00:00",475.71,3304.86,193.57,1.52
"2016-01-25 00:00:00",911.86,4381.14,260.14,2.43
"2016-02-01 00:00:00",633,4299.71,222.71,2.47
"2016-02-08 00:00:00",1296.14,6020.14,386.14,4.48
"2016-02-15 00:00:00",1070,5866.29,414,4.46
"2016-02-22 00:00:00",1032.29,6356.43,433,5.91
"2016-02-29 00:00:00",2362.86,8886,526.86,8.81
"2016-03-07 00:00:00",2054.86,9618.71,747.29,11.25
"2016-03-14 00:00:00",1704.29,10332.43,1021.86,11.4
