"DateTime","Number of Transactions","Price"
"2015-08-03 00:00:00",1897,1.54
"2015-08-10 00:00:00",2814,1.36
"2015-08-17 00:00:00",3169.71,1.36
"2015-08-24 00:00:00",4581.57,1.23
"2015-08-31 00:00:00",5277,1.28
"2015-09-07 00:00:00",5759.86,1.16
"2015-09-14 00:00:00",5652.57,0.892679
"2015-09-21 00:00:00",6313.71,0.8153
"2015-09-28 00:00:00",6132.14,0.646314
"2015-10-05 00:00:00",6578.29,0.622679
"2015-10-12 00:00:00",6638.71,0.559836
"2015-10-19 00:00:00",6236.43,0.518007
"2015-10-26 00:00:00",7157.71,0.946793
"2015-11-02 00:00:00",8528.57,0.933186
"2015-11-09 00:00:00",8239,0.893357
"2015-11-16 00:00:00",7295.14,0.925807
"2015-11-23 00:00:00",7152,0.894679
"2015-11-30 00:00:00",7415.86,0.845764
"2015-12-07 00:00:00",7422,0.852571
"2015-12-14 00:00:00",11952.86,0.943014
"2015-12-21 00:00:00",15916.86,0.9146
"2015-12-28 00:00:00",11762.57,0.914421
"2016-01-04 00:00:00",14003.57,0.959543
"2016-01-11 00:00:00",11261,1.18
"2016-01-18 00:00:00",12189.57,1.52
"2016-01-25 00:00:00",16327.43,2.43
"2016-02-01 00:00:00",16858.71,2.47
"2016-02-08 00:00:00",17542.86,4.48
"2016-02-15 00:00:00",17674.29,4.46
"2016-02-22 00:00:00",19084.86,5.91
"2016-02-29 00:00:00",24209.86,8.81
"2016-03-07 00:00:00",25095.57,11.25
"2016-03-14 00:00:00",31113.29,11.4
"2016-03-21 00:00:00",33904,11.21
"2016-03-28 00:00:00",32617.71,11.51
"2016-04-04 00:00:00",33618.43,10.11
"2016-04-11 00:00:00",34422.86,8.38
"2016-04-18 00:00:00",33383.29,8.45
"2016-04-25 00:00:00",36165.57,7.85
"2016-05-02 00:00:00",38457,9.46
"2016-05-09 00:00:00",42681.57,9.95
"2016-05-16 00:00:00",42055,13.03
"2016-05-23 00:00:00",49460.57,12.3
"2016-05-30 00:00:00",40490.71,13.5
"2016-06-06 00:00:00",40579.57,14.28
"2016-06-13 00:00:00",51686.86,16.33
"2016-06-20 00:00:00",43903,13.29
"2016-06-27 00:00:00",45021.43,12.51
"2016-07-04 00:00:00",39904.57,10.73
"2016-07-11 00:00:00",38669,11.13
"2016-07-18 00:00:00",47090.14,12.76
"2016-07-25 00:00:00",50714.86,12.71
"2016-08-01 00:00:00",45357.29,10.45
"2016-08-08 00:00:00",44299.43,11.72
"2016-08-15 00:00:00",44246.43,11.03
"2016-08-22 00:00:00",46595.71,11.16
"2016-08-29 00:00:00",47450.57,11.63
"2016-09-05 00:00:00",47766.43,11.67
"2016-09-12 00:00:00",47663.14,12.19
"2016-09-19 00:00:00",43101.43,13.28
"2016-09-26 00:00:00",42184.71,13.18
"2016-10-03 00:00:00",42884.57,12.9
"2016-10-10 00:00:00",35440,11.92
"2016-10-17 00:00:00",41399,12.11
"2016-10-24 00:00:00",44216.43,11.26
"2016-10-31 00:00:00",40526.14,10.99
"2016-11-07 00:00:00",40962.43,10.48
"2016-11-14 00:00:00",41836.14,9.88
"2016-11-21 00:00:00",48044.71,9.47
"2016-11-28 00:00:00",41508.29,8.18
"2016-12-05 00:00:00",41021.71,7.89
"2016-12-12 00:00:00",41694.57,8.06
"2016-12-19 00:00:00",44080,7.52
"2016-12-26 00:00:00",40862.86,7.76
"2017-01-02 00:00:00",44929.14,9.65
"2017-01-09 00:00:00",45393.57,9.99
"2017-01-16 00:00:00",44311.71,10.36
"2017-01-23 00:00:00",45717.14,10.59
"2017-01-30 00:00:00",44319,10.83
"2017-02-06 00:00:00",48684,11.28
"2017-02-13 00:00:00",52170.29,12.64
"2017-02-20 00:00:00",52141.57,13.05
"2017-02-27 00:00:00",60343.71,17.64
"2017-03-06 00:00:00",62123.71,19.2
"2017-03-13 00:00:00",89963.57,35.74
"2017-03-20 00:00:00",82318.71,45.44
"2017-03-27 00:00:00",91230.43,50.45
"2017-04-03 00:00:00",86619.14,44.18
"2017-04-10 00:00:00",77202.57,47.54
"2017-04-17 00:00:00",79343.57,48.56
"2017-04-24 00:00:00",93667.29,60.58
"2017-05-01 00:00:00",105771,83.73
