Date,Bitcoin,Crypto,Cryptocurrency,ETH,Crytpo Regulations,Crypto Ban,Crypto Bubble,Bull,Bear,Hack,Crypto Market,Stocks,Time to buy,should I sell,how to buy,exchange,wallet,mining,blockchain,Bitcoin_delta,Crypto_delta,Cryptocurrency_delta,ETH_delta,Crytpo Regulations_delta,Crypto Ban_delta,Crypto Bubble_delta,Bull_delta,Bear_delta,Hack_delta,Crypto Market_delta,Stocks_delta,Time to buy_delta,should I sell_delta,how to buy_delta,exchange_delta,wallet_delta,mining_delta,blockchain_delta,Open,High,Low,Close,Volume,PriceDelta,VolumeDelta,EMA3,EMA7,EMA14,EMA20,EMA50,Volume_USDT,VolumeDelta_USDT,Volatility_USDT,Yesterday_Price,3day_Past_Mean_Price,7day_Past_Mean_Price,Yesterday_Volume,3day_Past_Mean_Volume,7day_Past_Mean_Volume,Yesterday_Vol_USDT,3day_Past_Mean_Vol_USDT,7day_Past_Mean_Vol_USDT,RSI,RSI_BuySellFlag,EMA_BuySellFlag
12/6/2017,27,2,3,1,0,1,0,21,90,45,1,21,7,0,63,78,41,30,15,-1,0,1,0,0,1,0,3,-5,2,1,-2,0,0,-4,-6,4,7,3,11923.40039,14369.09961,11923.40039,14291.5,12656300032,2374.7998,5761039872,12963.85963,11867.52405,10755.78442,10105.29544,8387.007501,1281490048,467344064,0.0242,11916.7002,12621.80013,11638.9142,6895260160,8561323349,7503512795,814145984,921382016,883458715.4,96.37787424,0,1
12/7/2017,55,3,4,1,0,0,0,19,83,41,3,20,7,4,83,79,46,29,16,28,1,1,0,0,-1,0,-2,-7,-4,2,-1,0,4,20,1,5,-1,1,14266.09961,17899.69922,14057.29981,17899.69922,17950699520,3608.19922,5294399488,15431.77943,13375.56784,11708.30639,10847.61961,8760.054235,1671609984,390119936,0.07588,14291.5,14702.63314,12734.07129,12656300032,12500753237,8880657042,1281490048,1255748672,973121572.6,97.95128062,0,0
12/8/2017,83,2,4,1,0,0,0,17,85,53,2,18,5,0,94,82,52,42,23,28,-1,0,0,0,0,0,-2,2,12,-1,-2,-2,-4,11,3,6,13,7,17802.90039,18353.40039,14336.90039,16569.40039,21135998976,-1330.29883,3185299456,16000.58991,14174.02598,12356.45226,11392.55111,9066.303104,1993030016,321420032,0.071097,17899.69922,16253.5332,13533.18569,17950699520,17247666176,10931068343,1671609984,1648710016,1150783579,83.54247154,0,0
12/9/2017,59,2,5,1,0,3,0,71,81,37,2,13,6,0,64,64,43,30,11,-24,0,1,0,0,3,0,54,-4,-16,0,-5,1,0,-30,-18,-9,-12,-12,16523.30078,16783,13674.90039,15178.2002,13911300096,-1391.20019,-7224698880,15589.39505,14425.06954,12732.68532,11753.08912,9305.985343,1598909952,-394120064,0.0537,16569.40039,16549.09994,14119.41434,21135998976,17665999531,12184325486,1993030016,1754516651,1282063570,71.6690774,0,0
12/10/2017,47,3,4,1,0,2,0,77,95,49,0,11,3,0,60,63,37,26,13,-12,1,-1,0,0,-1,0,6,14,12,-2,-2,-3,0,-4,-1,-6,-4,2,15168.40039,15850.59961,13226.59961,15455.40039,13433299968,277.20019,-478000128,15522.39772,14682.65225,13095.714,12105.69019,9547.138874,1649500032,50590080,0.073124,15178.2002,15734.33366,14709.72866,13911300096,16160199680,13159324087,1598909952,1747146667,1382456576,72.50751386,0,0
12/11/2017,52,2,3,1,0,0,0,70,84,42,0,11,6,0,72,67,40,29,17,5,-1,-1,0,0,-2,0,-7,-11,-7,0,0,3,0,12,4,3,3,4,15427.40039,17513.90039,15404.79981,16936.80078,12153900032,1481.40039,-1279399936,16229.59925,15246.18938,13607.8589,12565.79596,9836.929537,1542119936,-107380096,0.02968,15455.40039,15856.80046,15463.95731,13433299968,13166166699,14019536969,1649500032,1596843307,1507257993,76.50863192,0,0
12/12/2017,52,3,5,1,0,2,0,68,80,37,0,19,9,0,79,75,41,35,15,0,1,2,0,0,2,0,-2,-4,-5,0,8,3,0,7,8,1,6,-2,16919.80078,17781.80078,16571.59961,17415.40039,14603799552,478.59961,2449899520,16822.49982,15788.49213,14115.5311,13027.66305,10134.12447,2240839936,698720000,0.0808,16936.80078,16602.53385,16249.48591,12153900032,13396999851,15120756882,1542119936,1810819968,1711071415,77.64079323,0,0
12/13/2017,50,4,7,2,0,0,0,51,67,37,2,25,8,0,87,83,51,39,15,-2,1,2,1,0,-2,0,-17,-13,0,2,6,-1,0,8,8,10,4,0,17500,17653.09961,16039.7002,16408.19922,12976900096,-1007.20117,-1626899456,16615.34952,15943.41891,14421.22018,13349.61888,10380.16662,2198139904,-42700032,0.06854,17415.40039,16920.13346,16551.87151,14603799552,13244866560,15166556891,2240839936,1993699925,1842021394,69.99542796,0,0
12/14/2017,40,4,5,2,0,0,0,71,70,37,0,22,5,2,79,66,53,33,14,-10,0,-2,0,0,0,0,20,3,0,-2,-3,-3,2,-8,-17,2,-6,-1,16384.59961,17085.80078,16185.90039,16564,13777399808,155.80078,800499712,16589.67476,16098.56418,14706.92416,13655.75041,10622.66989,2336179968,138040064,0.04473,16408.19922,16795.86654,16361.05734,12976900096,13786033152,14570371218,2198139904,2258386603,1936959963,70.47967557,0,0
12/15/2017,38,4,6,1,0,0,0,59,74,40,2,16,6,0,84,75,50,30,14,-2,0,1,-1,0,0,0,-12,4,3,2,-6,1,-2,5,9,-3,-3,0,16601.30078,18154.09961,16601.30078,17706.90039,14309999616,1142.90039,532599808,17148.28758,16500.64823,15106.92099,14041.57422,10900.48285,2044499968,-291680000,0.023205,16564,16893.0332,16523.55734,13777399808,13688099840,13595228453,2336179968,2192939947,1944312814,73.81784845,0,0
12/16/2017,38,4,5,1,0,0,0,82,86,51,0,18,8,3,72,73,48,28,14,0,0,-1,0,0,0,0,23,12,11,-2,2,2,3,-12,-2,-2,-2,0,17760.30078,19716.69922,17515.30078,19497.40039,12740599808,1790.5,-1569399808,18322.84398,17249.83627,15692.31824,14561.17671,11237.61687,1592729984,-451769984,0.01755,17706.90039,17922.76693,17140.58594,14309999616,13609333077,13427985554,2044499968,1991136640,1943429961,78.01264834,0,0
12/17/2017,52,4,6,1,0,0,0,100,100,57,0,17,7,0,69,57,45,30,11,14,0,1,0,0,0,0,18,14,6,0,-1,-1,-3,-3,-16,-3,2,-3,19475.80078,20089,18974.09961,19140.80078,13314599936,-356.59961,574000128,18731.82238,17722.5774,16152.11591,14997.33138,11547.54565,1931020032,338290048,0.01354,19497.40039,18781.70052,17667.07171,12740599808,13455066453,13411028407,1592729984,1856083328,1983647104,75.42092297,0,0
