low,high,open,close,volume
8.25,8.3,8.26,8.3,1610.3152
8.3,8.53,8.3,8.47,3139.98709039
8.45,8.6,8.45,8.59,3503.82608469
8.49,8.6,8.58,8.53,1693.23301
8.34,8.54,8.53,8.38,2223.61135575
8.36,8.49,8.38,8.49,510.82634291
8.39,8.49,8.46,8.41,998.36821633
8.35,8.44,8.43,8.41,423.25545048
8.35,8.43,8.41,8.38,407.33032531
8.16,8.42,8.39,8.2,3250.80759549
8.2,8.26,8.21,8.23,380.439545
8.2,8.26,8.21,8.23,342.07112
8.23,8.39,8.26,8.39,520.47728294
8.3,8.39,8.38,8.35,1041.81924045
8.31,8.42,8.34,8.42,1025.62143352
8.31,8.44,8.42,8.37,8012.7220347
8.24,8.37,8.37,8.33,3819.81067742
8.3,8.37,8.33,8.36,3092.92143765
8.31,8.37,8.36,8.33,1817.07426978
8.16,8.35,8.33,8.2,8694.17725463
8.08,8.19,8.19,8.12,6012.772595
8.09,8.17,8.12,8.11,3184.37977393
8.09,8.2,8.09,8.18,1303.26428035
8.15,8.2,8.2,8.17,1486.34490978
8.09,8.21,8.16,8.19,1917.933995
8.13,8.22,8.21,8.14,2991.27510591
8.05,8.21,8.14,8.18,5690.29543049
8.11,8.18,8.18,8.15,3318.63279384
8.06,8.18,8.16,8.13,1699.12169
8.11,8.16,8.13,8.16,758.23454
8.12,8.2,8.16,8.18,2426.85146895
8.09,8.19,8.19,8.18,580.68868742
8.15,8.18,8.18,8.18,603.91005
8.16,8.19,8.18,8.18,1064.04536
8.1,8.19,8.17,8.1,2523.86016286
8.06,8.19,8.11,8.16,2696.02328433
8.15,8.2,8.15,8.18,2218.64863375
8.18,8.24,8.18,8.21,2621.26160195
8.17,8.3,8.21,8.29,2906.99794856
8.27,8.45,8.3,8.45,6881.93400745
8.42,8.53,8.45,8.46,5669.329582
8.37,8.47,8.46,8.41,5759.33742658
8.24,8.41,8.41,8.24,4309.5266684
8.22,8.38,8.25,8.37,3238.50230375
8.3,8.43,8.37,8.39,2146.96480124
8.35,8.44,8.4,8.38,3443.70927864
8.31,8.42,8.38,8.38,3536.80289939
8.3,8.42,8.38,8.37,3449.91169952
8.24,8.37,8.37,8.3,5452.78654251
8.28,8.36,8.29,8.32,5028.07560898
8.3,8.37,8.32,8.37,2794.60390048
8.31,8.37,8.37,8.37,1729.18910271
8.35,8.42,8.35,8.39,2773.98740121
8.38,8.44,8.41,8.41,1662.487347
8.39,8.51,8.43,8.51,4213.8415238
8.47,8.55,8.51,8.47,3696.9054688
8.43,8.52,8.49,8.51,957.18681385
8.48,8.56,8.52,8.53,3490.48282021
8.47,8.62,8.51,8.57,5659.06746691
8.52,8.6,8.56,8.56,1610.99253621
8.53,8.62,8.55,8.61,2521.91729372
8.59,8.85,8.62,8.84,4399.39996645
8.83,9.45,8.84,9.32,20920.45008484
9.23,9.45,9.37,9.27,15286.02558674
9.27,9.6,9.27,9.55,15010.32641565
9.52,9.86,9.55,9.84,22676.03902072
9.76,10.02,9.84,9.97,22090.51260807
9.31,9.98,9.97,9.5,18820.52785689
9.45,9.67,9.55,9.66,6383.70230527
9.57,9.83,9.65,9.76,9850.4666775
9.58,9.85,9.77,9.59,12611.64651366
9.34,9.72,9.62,9.69,13883.58421682
9.6,9.71,9.67,9.67,5692.85459086
9.65,10.11,9.67,10.11,12275.18481292
10.1,10.54,10.11,10.33,19808.44409296
10.32,10.55,10.33,10.43,12795.7665837
10.36,10.57,10.42,10.48,12584.39913345
10.31,10.5,10.5,10.4,7693.70228805
10.35,10.49,10.39,10.48,5690.90289484
10.4,10.66,10.43,10.63,3184.95272406
10.58,10.83,10.61,10.81,6885.20457305
10.65,10.92,10.81,10.84,4348.94114158
10.64,10.88,10.82,10.71,6701.03768486
10.64,10.9,10.71,10.89,8143.31177472
10.6,10.96,10.89,10.75,10461.8234449
10.34,10.75,10.75,10.6,12496.83413891
10.56,10.85,10.57,10.8,11723.18826796
10.65,10.87,10.8,10.83,8611.46655295
10.7,10.87,10.83,10.79,12194.94792503
10.7,10.88,10.81,10.85,8997.13370182
10.7,10.9,10.86,10.72,10881.24575856
10.7,10.88,10.72,10.87,11693.34222581
10.54,10.83,10.83,10.72,12995.92912178
10.62,10.87,10.7,10.84,10335.63051551
10.83,11.17,10.84,11.17,19622.66495679
11.11,11.55,11.13,11.26,33402.82237165
10.94,11.49,11.25,11.41,14478.5696102
11.26,11.43,11.42,11.36,9846.51411093
11.25,11.53,11.36,11.31,13515.99039163
11.26,11.53,11.36,11.51,9246.86657663
11.48,11.79,11.49,11.68,14872.66153954
11.56,11.8,11.68,11.69,13395.10840043
11.6,11.77,11.69,11.61,9584.42049963
11.14,11.67,11.62,11.14,13147.10393085
10.5,11.16,11.15,10.76,18332.18691138
10.02,10.92,10.76,10.55,18274.55931752
10.42,10.69,10.57,10.67,3220.6414563
9.86,10.7,10.67,10.04,11356.9747608
9.08,10.04,10.04,9.59,29076.06191648
9.37,9.95,9.67,9.76,15430.40513961
9.68,10.6,9.76,10.22,16296.49491091
9.67,10.39,10.22,9.89,12971.71392446
9.75,10.2,9.87,10.07,13672.75217408
10.01,10.5,10.06,10.21,12105.15482657
9.8,10.28,10.22,10.12,10440.95568124
10.02,10.25,10.12,10.19,5475.53800083
10.0,10.19,10.19,10.1,4868.39451003
10.09,10.3,10.09,10.3,6907.23945445
10.12,10.47,10.3,10.23,8276.51924787
10.18,10.42,10.23,10.38,3826.73687902
10.35,10.46,10.42,10.45,5025.6116686
9.91,10.43,10.38,9.91,6327.99357467
9.9,10.21,9.93,10.1,4629.74790128
9.97,10.1,10.1,10.07,3991.8538958
10.03,10.25,10.07,10.18,5148.45490841
10.17,10.29,10.19,10.22,2596.22010673
10.22,10.43,10.27,10.39,2695.49837792
10.09,10.45,10.41,10.22,3909.94547067
9.93,10.45,10.22,10.11,10047.38779474
10.0,10.16,10.13,10.11,3926.002671
9.71,10.11,10.1,9.89,11150.04786943
9.52,9.96,9.88,9.76,12275.627283
9.65,9.86,9.76,9.81,7006.9324992
9.7,10.07,9.83,9.98,5515.26423786
9.97,10.28,9.97,10.22,6328.237351
9.98,10.31,10.22,10.07,7131.17536216
9.99,10.22,10.08,10.18,4338.97352167
9.84,10.2,10.2,9.97,10630.08045184
9.94,10.3,9.97,10.28,9865.07225629
10.04,10.32,10.28,10.09,5204.13022197
10.1,10.26,10.13,10.22,3185.90832232
10.03,10.22,10.22,10.14,3184.89482071
10.07,10.14,10.14,10.14,1637.216129
10.08,10.14,10.14,10.09,1228.27971968
10.01,10.21,10.12,10.01,2808.25513891
9.55,10.07,10.07,9.79,10719.5646872
9.59,9.87,9.8,9.64,5545.00908413
9.61,9.89,9.67,9.8,4114.22013796
9.72,9.86,9.84,9.72,1993.379857
9.66,9.78,9.73,9.75,2478.716712
9.67,9.79,9.74,9.74,1195.32385993
9.71,9.83,9.74,9.76,1577.91813635
9.75,10.09,9.75,10.09,4116.61181956
9.99,10.1,10.09,10.06,1095.400936
9.98,10.08,10.01,10.06,672.00359
10.02,10.15,10.04,10.14,1166.515777
9.94,10.14,10.14,10.05,1733.76479889
9.95,10.07,10.05,10.04,1940.86718852
10.01,10.14,10.04,10.11,1872.93904141
10.04,10.14,10.1,10.14,2059.12526517
10.05,10.14,10.13,10.05,1549.636883
10.05,10.12,10.06,10.07,2119.15429759
10.02,10.08,10.06,10.02,1688.39699986
9.84,10.09,10.03,9.84,7041.08019106
9.74,9.89,9.85,9.85,6089.20760628
9.85,10.0,9.85,9.93,2254.63233064
9.9,9.97,9.92,9.92,1142.87835331
9.89,9.97,9.92,9.97,1902.650367
9.9,9.97,9.96,9.94,1310.23270165
9.92,10.02,9.94,10.02,1781.58741999
9.98,10.12,10.02,9.99,3330.16801914
9.99,10.11,10.03,10.09,2948.41669031
10.01,10.14,10.08,10.03,1731.96222371
10.03,10.15,10.03,10.15,1752.05636109
10.02,10.12,10.12,10.03,4361.00481409
9.99,10.06,10.03,10.06,626.03139653
10.02,10.07,10.03,10.07,324.50253
10.01,10.07,10.06,10.03,501.23425689
10.05,10.17,10.06,10.07,2809.52408938
10.07,10.18,10.08,10.15,741.71057152
10.16,10.36,10.18,10.24,8244.57225813
10.21,10.34,10.24,10.29,691.887858
10.22,10.32,10.31,10.24,2110.8921888
10.23,10.32,10.25,10.32,468.957985
10.19,10.32,10.31,10.23,2435.63339702
10.2,10.24,10.23,10.22,765.2487
10.2,10.35,10.22,10.33,6029.03698034
10.3,10.55,10.33,10.52,8587.89156357
10.5,10.58,10.52,10.54,3651.78831922
10.42,10.54,10.53,10.48,2546.3032132
10.42,10.54,10.47,10.5,3229.630655
10.37,10.57,10.5,10.46,1849.51567059
10.35,10.49,10.46,10.39,2132.15599503
10.33,10.53,10.39,10.44,3256.06127518
10.39,10.52,10.45,10.51,3076.8383474
10.32,10.53,10.47,10.38,3178.25724534
10.38,10.48,10.38,10.47,1013.59118956
10.43,10.5,10.43,10.45,827.93626062
10.4,10.5,10.47,10.49,1709.331956
10.43,10.56,10.44,10.48,1472.566691
10.48,10.8,10.49,10.79,1848.2801163
10.75,10.94,10.79,10.78,5183.54259883
10.71,10.83,10.82,10.71,1528.00138318
10.68,10.82,10.71,10.81,1006.714633
10.78,10.92,10.81,10.89,2394.134117
10.75,10.9,10.89,10.82,2749.8481847
10.77,10.93,10.81,10.8,4458.13151524
10.76,10.86,10.8,10.77,4171.17237252
10.63,10.85,10.77,10.71,6470.19230366
10.56,10.71,10.7,10.64,3586.66932911
10.41,10.64,10.64,10.5,4273.26386209
10.42,10.62,10.44,10.53,4221.56185604
10.47,10.6,10.53,10.58,2481.705352
10.3,10.59,10.59,10.3,5719.55765508
10.23,10.45,10.32,10.39,2928.65602018
10.36,10.49,10.41,10.49,2641.910289
10.47,10.51,10.49,10.51,1085.730524
10.44,10.52,10.52,10.46,1219.723967
10.38,10.48,10.44,10.43,1276.45287717
10.4,10.51,10.42,10.51,1974.96068036
10.43,10.51,10.5,10.49,1785.3560332
10.4,10.49,10.49,10.44,957.678319
10.34,10.46,10.42,10.37,1157.2510186
10.34,10.46,10.37,10.44,483.12562631
10.4,10.48,10.44,10.41,514.81760104
10.37,10.47,10.43,10.4,914.16213674
10.35,10.55,10.4,10.55,2013.59782777
10.54,10.75,10.54,10.74,1916.22063045
10.58,10.74,10.74,10.63,3466.88589322
10.53,10.65,10.63,10.62,1871.70473537
10.59,10.75,10.62,10.69,4619.75412378
10.62,10.69,10.68,10.63,1194.669291
10.6,10.67,10.66,10.63,3189.787786
10.52,10.64,10.63,10.59,4774.111841
10.53,10.74,10.55,10.72,6552.43411839
10.6,10.73,10.72,10.67,4000.0978725
10.65,10.72,10.69,10.65,3055.74990727
10.62,10.69,10.65,10.65,2634.225041
10.62,10.68,10.65,10.63,1779.608446
10.56,10.68,10.63,10.66,4381.149725
10.65,10.72,10.66,10.67,2253.958811
10.66,10.78,10.69,10.71,4080.853813
10.69,10.75,10.71,10.74,2168.5367999
10.67,10.8,10.74,10.76,2220.92808955
10.71,10.78,10.76,10.77,2393.12096112
10.66,10.78,10.78,10.73,1413.177162
10.67,10.77,10.7,10.71,1060.08310856
10.69,10.84,10.72,10.76,3750.735476
10.19,10.79,10.76,10.3,9591.01275746
10.19,10.37,10.32,10.3,3642.89849489
10.07,10.44,10.33,10.13,7164.67680938
9.98,10.43,10.14,10.04,10650.6662386
9.78,10.08,10.04,10.04,9061.0224399
9.82,10.05,10.03,10.03,6653.59747405
9.82,10.04,10.01,9.93,6743.62688535
9.8,10.03,9.94,9.94,6436.942829
9.54,9.98,9.94,9.62,14429.49522353
9.47,9.97,9.6,9.66,11809.79457888
9.57,9.99,9.66,9.89,8218.30444715
9.7,10.08,9.86,9.83,7458.05694084
9.62,9.87,9.85,9.82,5756.48203381
9.73,9.9,9.8,9.9,3263.11739721
9.77,10.44,9.9,9.95,22088.6287199
9.64,10.09,9.96,9.78,3803.83002926
9.7,9.84,9.81,9.76,693.11497277
9.72,9.75,9.75,9.72,3968.968618
9.7,9.85,9.72,9.71,4270.50741694
9.61,9.71,9.7,9.63,1511.28670769
9.52,9.63,9.63,9.53,1157.27571144
9.42,9.6,9.54,9.49,4878.25376051
9.29,9.63,9.5,9.29,5225.7064554
9.31,9.48,9.31,9.41,2068.48468486
9.23,9.39,9.39,9.3,2800.389467
9.12,9.46,9.31,9.37,8130.89093825
9.28,9.51,9.37,9.4,3260.41095024
9.3,9.5,9.38,9.45,1979.138593
9.42,9.59,9.44,9.59,2537.14750164
9.53,9.68,9.6,9.68,3260.54389352
9.6,9.74,9.68,9.72,3826.78515944
9.69,9.75,9.72,9.69,3790.72609657
9.67,9.75,9.69,9.75,2534.25523227
9.75,9.91,9.75,9.88,3646.23087717
9.88,9.99,9.88,9.99,2702.2630599
9.92,10.07,9.98,10.07,1927.25194723
10.01,10.17,10.06,10.07,4711.52742947
9.78,10.16,10.06,9.82,4353.03708171
9.77,9.91,9.83,9.8,2609.21902953
9.8,9.84,9.81,9.84,935.36556079
9.83,9.91,9.83,9.86,763.66608551
9.81,9.9,9.85,9.89,1259.16706878
9.64,9.88,9.88,9.65,5807.34850668
9.58,9.7,9.64,9.65,3223.81780004
9.54,9.65,9.64,9.54,1609.51848975
9.56,9.65,9.56,9.65,839.76611039
9.58,9.65,9.63,9.58,1071.65086895
9.54,9.71,9.58,9.54,3696.32340064
9.51,9.71,9.57,9.66,4207.43380577
9.58,9.7,9.66,9.67,1853.585269
9.6,9.73,9.63,9.68,5350.1927
9.56,9.75,9.67,9.62,5468.76446663
9.62,9.72,9.62,9.71,1645.06736184
